charity_id,ein,legal_name,cause_area_primary,city,state,ntee_code,fiscal_year,total_revenue,total_expenses,total_assets,liabilities,financial_record_status,manual_review_status,source_id
us-ein-813422012,81-3422012,Civil Rights Corps,criminal_justice,Washington,DC,R60,2023,5645855,6666033,15924714,2144111,machine_extracted,not_reviewed,propublica-org-813422012
us-ein-631135091,63-1135091,Equal Justice Initiative,criminal_justice,Montgomery,AL,R63,2023,67268484,55139943,427846693,9320295,machine_extracted,not_reviewed,propublica-org-631135091
us-ein-920642786,92-0642786,Fines And Fees Justice Center Inc,criminal_justice,New York,NY,I05,,,,,,missing,not_reviewed,propublica-org-920642786
us-ein-320077563,32-0077563,Innocence Project Inc,criminal_justice,New York,NY,P20,2023,32455846,26212682,105843645,14830781,machine_extracted,not_reviewed,propublica-org-320077563
us-ein-452119421,45-2119421,Measures For Justice Institute,criminal_justice,Rochester,NY,R05,2023,7457391,13074281,23469430,1259757,machine_extracted,not_reviewed,propublica-org-452119421
us-ein-203671130,20-3671130,Prison Policy Initiative Inc,criminal_justice,Northampton,MA,R40,2024,4146849,1697210,8305767,14343,machine_extracted,not_reviewed,propublica-org-203671130
us-ein-621025326,62-1025326,Southern Center For Human Rights,criminal_justice,Atlanta,GA,R02,2023,4233073,5495397,13220230,360633,machine_extracted,not_reviewed,propublica-org-621025326
us-ein-383740913,38-3740913,Texas Fair Defense Project,criminal_justice,Austin,TX,I80,2023,829144,1122141,202527,61159,machine_extracted,not_reviewed,propublica-org-383740913
us-ein-521472546,52-1472546,The Sentencing Project,criminal_justice,Washington,DC,,2023,4149060,5505348,7274373,529217,machine_extracted,not_reviewed,propublica-org-521472546
us-ein-131941627,13-1941627,Vera Institute Of Justice Inc,criminal_justice,Brooklyn,NY,I20Z,2023,263167197,262476408,256287526,128208791,machine_extracted,not_reviewed,propublica-org-131941627
us-ein-133843322,13-3843322,Center For Employment Opportunities Inc,criminal_recidivism_and_reentry,New York,NY,J20,2023,101892940,100359172,53113212,22278154,machine_extracted,not_reviewed,propublica-org-133843322
us-ein-273611908,27-3611908,Defy Ventures Inc,criminal_recidivism_and_reentry,Los Angeles,CA,B90,2023,4021502,3830168,3316665,724833,machine_extracted,not_reviewed,propublica-org-273611908
us-ein-311731465,31-1731465,Exodus Transitional Community Inc,criminal_recidivism_and_reentry,New York,NY,I400,2023,11491852,14236262,20998495,21917639,machine_extracted,not_reviewed,propublica-org-311731465
us-ein-061711370,06-1711370,Getting Out And Staying Out Inc,criminal_recidivism_and_reentry,New York,NY,I43,2023,6732010,6946719,8087906,6270036,machine_extracted,not_reviewed,propublica-org-061711370
